ID ,Target ,Model 1 Score ,Model 2 Score
 1 ,FALSE  ,       0.1026 ,       0.2089
 2 ,FALSE  ,       0.2937 ,       0.0080
 3 ,TRUE   ,       0.5120 ,       0.8378
 4 ,TRUE   ,       0.8645 ,       0.7160
 5 ,FALSE  ,       0.1987 ,       0.1891
 6 ,TRUE   ,       0.7600 ,       0.9398
 7 ,TRUE   ,       0.7519 ,       0.9800
 8 ,TRUE   ,       0.2994 ,       0.8578
 9 ,FALSE  ,       0.0552 ,       0.1560
10 ,FALSE  ,       0.9231 ,       0.5600
11 ,TRUE   ,       0.7563 ,       0.9062
12 ,TRUE   ,       0.5664 ,       0.7301
13 ,TRUE   ,       0.2872 ,       0.8764
14 ,TRUE   ,       0.9326 ,       0.9274
15 ,FALSE  ,       0.0651 ,       0.2992
16 ,TRUE   ,       0.7165 ,       0.4569
17 ,TRUE   ,       0.7677 ,       0.8086
18 ,FALSE  ,       0.4468 ,       0.1458
19 ,FALSE  ,       0.2176 ,       0.5809
20 ,FALSE  ,       0.9800 ,       0.5783
21 ,TRUE   ,       0.6562 ,       0.7843
22 ,TRUE   ,       0.9693 ,       0.9521
23 ,FALSE  ,       0.0275 ,       0.0377
24 ,TRUE   ,       0.7047 ,       0.4708
25 ,FALSE  ,       0.3711 ,       0.2846
26 ,FALSE  ,       0.4440 ,       0.1100
27 ,TRUE   ,       0.5440 ,       0.3562
28 ,TRUE   ,       0.5713 ,       0.9200
29 ,FALSE  ,       0.3757 ,       0.0895
30 ,TRUE   ,       0.8224 ,       0.8614
